2025-05-04 18:07:33,077 - flashscore_scraper - INFO - Scraper initialized
2025-05-04 18:07:45,261 - flashscore_scraper - INFO - Found 0 fixtures for league: https://www.flashscore.com/football/england/premier-league/
2025-05-04 18:07:45,276 - flashscore_scraper - ERROR - No data to save to data/leagues//fixtures_20250504_180745.csv
2025-05-04 18:07:45,279 - flashscore_scraper - ERROR - No data to save to data/leagues//match_details_20250504_180745.csv
2025-05-04 18:10:53,113 - flashscore_scraper - INFO - Scraper initialized
2025-05-04 18:11:10,806 - flashscore_scraper - INFO - Found 0 fixtures for league: https://www.flashscore.com/football/brazil/serie-a-betano/
2025-05-04 18:11:10,819 - flashscore_scraper - ERROR - No data to save to data/leagues//fixtures_20250504_181110.csv
2025-05-04 18:11:10,836 - flashscore_scraper - ERROR - No data to save to data/leagues//match_details_20250504_181110.csv
2025-05-09 03:48:14,966 - INFO - Using ChromeDriver from: C:\Users\M2S30\Documents\GitHub\flashscore\drivers\chromedriver.exe
2025-05-09 03:48:23,000 - INFO - Chrome WebDriver initialized successfully
2025-05-09 03:48:23,033 - INFO - Accessing matches for date: 20250509
2025-05-09 03:50:27,220 - ERROR - Error getting match IDs: HTTPConnectionPool(host='localhost', port=52449): Read timed out. (read timeout=120)
2025-05-09 03:50:56,091 - INFO - Using ChromeDriver from: C:\Users\M2S30\Documents\GitHub\flashscore\drivers\chromedriver.exe
2025-05-09 03:51:00,924 - INFO - Chrome WebDriver initialized successfully
2025-05-09 03:51:00,964 - INFO - Accessing matches for date: 20250509
2025-05-09 03:51:38,726 - INFO - Handled GDPR consent
2025-05-09 03:52:09,226 - INFO - Found match: {'id': 'lrhtAjVb', 'teams': [], 'score': '-', 'time': '11:00'}
2025-05-09 03:52:09,472 - INFO - Found match: {'id': 'rokYBC0n', 'teams': [], 'score': '-', 'time': '11:00'}
2025-05-09 03:52:09,706 - INFO - Found match: {'id': '4KJNi9FU', 'teams': [], 'score': '-', 'time': '13:30'}
2025-05-09 03:52:09,905 - INFO - Found match: {'id': 'dCVVc7x2', 'teams': [], 'score': '-', 'time': '10:00'}
2025-05-09 03:52:10,110 - INFO - Found match: {'id': 'nVcEEhSj', 'teams': [], 'score': '-', 'time': '05:00'}
2025-05-09 03:52:10,332 - INFO - Found match: {'id': 'MmEZLzzH', 'teams': [], 'score': '-', 'time': '05:00'}
2025-05-09 03:52:10,660 - INFO - Found match: {'id': 'IF7rKE4T', 'teams': [], 'score': '-', 'time': '05:00'}
2025-05-09 03:52:10,929 - INFO - Found match: {'id': 'z9eTGnke', 'teams': [], 'score': '-', 'time': '08:00'}
2025-05-09 03:52:11,144 - INFO - Found match: {'id': 'fVoSMLQP', 'teams': [], 'score': '-', 'time': '13:45'}
2025-05-09 03:52:11,369 - INFO - Found match: {'id': 'KAOzclrS', 'teams': [], 'score': '-', 'time': '19:00'}
2025-05-09 03:52:11,602 - INFO - Found match: {'id': 'EsudCJQq', 'teams': [], 'score': '-', 'time': '13:00'}
2025-05-09 03:52:12,027 - INFO - Found match: {'id': 'riSaKh0C', 'teams': [], 'score': '-', 'time': '19:00'}
